event_date,event,fight_id,fighter,rule,live,units,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl,pnl_at_open
2014-01-04,UFC Fight Night: Saffiedine vs Lim,07d1d120dab41893,Sean Soriano,FLIP,0,1,350.0,350.0,0,0.0,-0.0,160,,-116,15.2,LOSS,SUB,2,-1.0,-1.0
2014-01-04,UFC Fight Night: Saffiedine vs Lim,3ff7d02ef633ee22,Hyun Gyu Lim,FLIP,0,1,235.78,350.0,0,0.0,-0.0,135,,193,-7.26,LOSS,U-DEC,5,-1.0,-1.0
2014-01-15,UFC Fight Night: Rockhold vs Philippou,1143d37503a9527d,Garett Whiteley,FLIP,0,1,290.37,290.52,0,0.0,-0.0,110,,135,-3.07,LOSS,U-DEC,3,-1.0,-1.0
2014-01-15,UFC Fight Night: Rockhold vs Philippou,3b8b70b448b0c604,Elias Silverio,GAP,0,1,278.74,264.05,0,0.0,0.0,-125,,-177,11.3,WIN,U-DEC,3,0.8,0.8
2014-02-01,UFC 169: Barao vs Faber 2,7a91b26b3e231fff,Neil Magny,FLIP,0,1,214.43,350.0,0,0.0,0.0,125,,128,0.78,WIN,U-DEC,3,1.25,1.25
2014-03-01,UFC Fight Night: Kim vs Hathaway,c53a5dca56870ea5,Kazuki Tokudome,FLIP,0,1,239.67,350.0,0,0.0,-0.0,140,,180,-4.52,LOSS,S-DEC,3,-1.0,-1.0
2014-03-15,UFC 171: Hendricks vs Lawler,364ed6aecfc8d16d,Renee Forte,FLIP,0,1,212.11,350.0,0,0.0,-0.0,-115,,-157,10.7,LOSS,U-DEC,3,-1.0,-1.0
2014-03-23,UFC Fight Night: Shogun vs Henderson 2,8f120352072bd5ed,Godofredo Pepey,FLIP,0,1,193.27,350.0,0,0.0,0.0,140,,276,-13.39,WIN,KO/TKO,1,1.4,1.4
2014-04-11,UFC Fight Night: Minotauro vs Nelson,beed8bc1f800de8f,Ramsey Nijem,FLIP,0,1,161.31,258.77,0,0.0,0.0,160,,233,-6.89,WIN,KO/TKO,1,1.6,1.6
2014-04-11,UFC Fight Night: Minotauro vs Nelson,a2e1e35e4e84e08d,Clay Guida,FLIP,0,1,106.5,290.37,1,1.0,1.15,115,,-138,13.04,WIN,U-DEC,3,1.15,1.15
2014-04-19,UFC on FOX: Werdum vs Browne,f8c9a597f719d75c,Jorge Masvidal,GAP,0,1,214.02,253.57,0,0.0,0.0,-190,,-272,9.4,WIN,U-DEC,3,0.5263,0.5263
2014-04-26,UFC 172: Jones vs Teixeira,c3455ba522bb37eb,Jessamyn Duke,GAP,0,1,290.39,281.45,0,0.0,-0.0,-135,,-137,3.45,LOSS,U-DEC,3,-1.0,-1.0
2014-05-10,UFC Fight Night: Brown vs Silva,2b6c2cdccb2cc659,Justin Salas,GAP,0,1,186.01,290.4,0,0.0,0.0,-210,,-295,8.83,WIN,KO/TKO,1,0.4762,0.4762
2014-05-10,UFC Fight Night: Brown vs Silva,107079f548338ac3,Neil Magny,FLIP,0,1,198.67,196.41,0,0.0,0.0,145,,263,-11.77,WIN,U-DEC,3,1.45,1.45
2014-05-31,UFC Fight Night: Munoz vs Mousasi,5b6405eeb6757637,Krzysztof Jotko,GAP,0,1,290.41,229.27,0,0.0,-0.0,-140,,-102,-4.98,LOSS,SUB,2,-1.0,-1.0
2014-06-07,UFC Fight Night: Henderson vs Khabilov,0c2a634606639d71,Roger Narvaez,FLIP,0,1,350.0,309.74,0,0.0,-0.0,235,,275,-2.3,LOSS,KO/TKO,2,-1.0,-1.0
