slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29394,Alessandro Costa,Amir Albazi,3.5,4.58,1.33333,1.21368,86,86,1669844418000,1671326309000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29140,Alex Caceres,Julian Erosa,2.3,2.45,1.66667,1.57471,87,87,1669168689000,1671325231000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29359,Bobby Green,Drew Dober,1.90909,2.4,1.90909,1.59172,78,78,1669168689000,1671323670000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29471,Cody Brundage,Michar Oleksiejczuk,2.9,3.14,1.44444,1.38023,59,59,1670278449000,1671322469000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28826,Cheyanne Vlismas,Cory McKenna,2.25,1.52356,1.68966,2.59,92,92,1670069176000,1671320549000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29386,Jake Matthews,Matthew Semelsberger,1.45455,1.3268,2.85,3.46,90,90,1669168689000,1671319109000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28629,Albert Duraev,Michar Oleksiejczuk,2.4,2.4,1.57143,1.57143,1,1,1670109387000,1670109387000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,28835,Said Nurmagomedov,Saidyokub Kakhramonov,1.66667,1.92593,2.3,1.89286,142,142,1669168689000,1671317910000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29387,Maheshate,Rafa Garcia,1.90909,2.25,1.90909,1.66667,85,85,1669168689000,1671316409000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29475,Bryan Battle,Rinat Fakhretdinov,2.3,2.28,1.66667,1.65359,93,93,1670808365000,1671314909000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29254,David Dvorak,Manel Kape,2.4,2.86,1.625,1.4386,98,98,1669168689000,1671313230000
ufc-fight-night-217-2632,UFC Fight Night 217 for December 17 | Best Fight Odds,2022-12-17,29388,Journey Newson,Sergey Morozov,2.7,3.58,1.5,1.30581,106,106,1669168689000,1671311551000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29666,Geoff Neal,Shavkat Rakhmonov,4.6,4.55,1.2,1.21505,2,2,1672592543000,1672923014000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29800,Nassourdine Imavov,Sean Strickland,1.58824,1.73529,2.45,2.13,92,92,1673305932000,1673748868000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29673,Damon Jackson,Dan Ige,1.625,2.12,2.4,1.74627,124,124,1672672806000,1673746566000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29672,Punahele Soriano,Roman Kopylov,1.55556,1.67114,2.55,2.24,68,68,1672587005000,1673745148000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29669,Ketlen Vieira,Raquel Pennington,1.68966,1.71942,2.25,2.17,89,89,1672672806000,1673743109000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29674,Raoni Barcelos,Umar Nurmagomedov,2.7,7.19,1.5,1.10718,125,125,1672672806000,1673741669000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29590,Javid Basharat,Mateus Mendonca,1.38462,1.26178,3.2,3.98,111,111,1672672807000,1673739508000
ufc-fight-night-218-2666,UFC Fight Night 218 for January 14 | Best Fight Odds,2023-01-14,29455,Abdul Razak Alhassan,Claudio Ribeiro,1.86957,1.89286,1.95238,1.92593,76,76,1672672925000,1673737950000
